position,description,certificate,company,city,sks,period,link,start_intern,end_intern,start_regis,end_regis
99% Usahaku Legal & Compliance Team Internship,-,Bersertifikat,Telkomsel ,Kota Jakarta Selatan,20 SKS , 2 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/162aef9f-4662-4465-82d8-7adf85a712f0/5dd425e4-a96f-11eb-b34d-7e0867a6abdb,23 Aug 2021,23 Oct 2021,07 Jun 2021,30 Jun 2021
99% Usahaku Marketing Team Internship,-,Bersertifikat,Telkomsel ,Kota Jakarta Selatan,20 SKS , 3 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/162aef9f-4662-4465-82d8-7adf85a712f0/c8d1480c-a96e-11eb-b34d-7e0867a6abdb,07 Sep 2021,23 Dec 2021,07 Jun 2021,30 Jun 2021
99% Usahaku Marketing Team Internship,-,Bersertifikat,Telkomsel ,Kota Jakarta Selatan,20 SKS , 3 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/162aef9f-4662-4465-82d8-7adf85a712f0/fca811b6-bd29-11eb-a519-522ce9d16fb1,07 Sep 2021,23 Dec 2021,07 Jun 2021,30 Jun 2021
99% Usahaku Partnership Team Internship,-,Bersertifikat,Telkomsel ,Kota Jakarta Selatan,20 SKS , 2 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/162aef9f-4662-4465-82d8-7adf85a712f0/a2c1538c-a96f-11eb-b34d-7e0867a6abdb,08 Nov 2021,23 Jan 2022,07 Jun 2021,30 Jun 2021
9. Copywriter,Internship Program Yayasan Hasnur Centre 2021,Bersertifikat,YHC QuIP (Quality Internship Program) ,"Barito Kuala, Jakarta, Yogyakarta, Malang",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/054b69c6-e415-4e06-be7f-491f672a68b0/a44e182c-b273-11eb-9935-da7ada3d00eb,01 Jul 2021,31 Dec 2021,01 Jun 2021,01 Jul 2021
Academic Affairs Intern,Academic Affairs Internship Program,Bersertifikat,Binar Academy ,Kota Tangerang Selatan,20 SKS , 3 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/2f7c9cd0-ddbc-4ac6-a7ed-2bd6e59ba179/8ba523b1-a84f-11eb-87b2-c2c15332c25a,01 Aug 2021,30 Nov 2021,15 Jun 2021,30 Jun 2021
Academic Quality Intern,Academy Quality Internship Program,Bersertifikat,Binar Academy ,Kota Tangerang Selatan,20 SKS , 3 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/2f7c9cd0-ddbc-4ac6-a7ed-2bd6e59ba179/954d10f6-a851-11eb-87b2-c2c15332c25a,01 Aug 2021,30 Nov 2021,15 Jun 2021,30 Jun 2021
Academy Research & Development Intern,Academy Research & Development Internship Program,Bersertifikat,Binar Academy ,Kota Tangerang Selatan,20 SKS , 3 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/2f7c9cd0-ddbc-4ac6-a7ed-2bd6e59ba179/490587fd-a84e-11eb-b34d-7e0867a6abdb,01 Aug 2021,30 Nov 2021,15 Jun 2021,30 Jun 2021
Account Management Interns,Program Magang Lazada Indonesia Commercials Team,Bersertifikat,Lazada ,Kota Jakarta Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/aed64ced-1c3e-40f4-8c92-3fae1469cbc4/db5cf2be-a974-11eb-b34d-7e0867a6abdb,23 Aug 2021,21 Jan 2022,07 Jun 2021,23 Jul 2021
Account officer,Games Literasi Anak,Bersertifikat,Semua Murid Semua Guru ,Kota Yogyakarta,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0cc412e6-5c6a-490d-82d6-c9cb8ae4ebba/bc432082-a9c6-11eb-87b2-c2c15332c25a,01 Aug 2021,31 Dec 2021,17 Jun 2021,18 Jul 2021
