position,description,certificate,company,city,sks,period,link,start_intern,end_intern,start_regis,end_regis
IT - Developer,Tracking Financial CRM BPOCC,Bersertifikat,Kalbe ,Kota Jakarta Timur,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ee261620-e398-4939-ae17-ab576c801cbe/55f2d7a2-a9b1-11eb-87b2-c2c15332c25a,23 Aug 2021,28 Feb 2022,01 Jul 2021,30 Jul 2021
IT Developer Intern ,EMII - ELECTRONIC MEDICAL INTEGRATED INFORMATION,Bersertifikat,Kalbe ,Kota Jakarta Pusat,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ee261620-e398-4939-ae17-ab576c801cbe/f3bcbc1d-a9b1-11eb-b34d-7e0867a6abdb,02 Aug 2021,28 Feb 2022,01 Jul 2021,30 Jul 2021
IT Development,Information Technology for Managing People,Bersertifikat,Barata Indonesia ,Kab. Gresik,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0a63bb44-3acf-4c41-bfa5-d7db5b87a658/0aaa4396-a965-11eb-87b2-c2c15332c25a,02 Aug 2021,31 Dec 2021,15 Jun 2021,15 Jul 2021
IT Integration,PROJECT MANAGEMENT,Bersertifikat,Telkom ,Jakarta/Bandung,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/95c5cbf2-68be-4146-9fef-f891db857f3b/49a176a9-a9b7-11eb-b34d-7e0867a6abdb,02 Aug 2021,31 Jan 2022,15 Jun 2021,30 Jul 2021
IT Integration,Platform Development,Bersertifikat,Telkom ,Kota Jakarta Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/95c5cbf2-68be-4146-9fef-f891db857f3b/66e975ed-a9bb-11eb-87b2-c2c15332c25a,02 Aug 2021,31 Jan 2022,15 Jun 2021,31 Jul 2021
IT Integration,PROJECT MANAGEMENT,Bersertifikat,Telkom ,Jakarta/Bandung,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/95c5cbf2-68be-4146-9fef-f891db857f3b/df89638e-a9b9-11eb-b34d-7e0867a6abdb,02 Aug 2021,31 Jan 2022,15 Jun 2021,30 Jul 2021
IT operation Engineer Specialist,-,Bersertifikat,Bank BRI ,Kota Jakarta Pusat,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/a78798fb-cfe4-4e23-9d42-a09881f6bf9c/f9b1beae-a956-11eb-87b2-c2c15332c25a,23 Aug 2021,22 Jan 2022,01 Jul 2021,01 Aug 2021
IT - Quality Assurance,Tracking Financial CRM BPOCC,Bersertifikat,Kalbe ,Kota Jakarta Timur,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ee261620-e398-4939-ae17-ab576c801cbe/a450185e-a9b1-11eb-87b2-c2c15332c25a,23 Aug 2021,28 Feb 2022,01 Jul 2021,30 Jul 2021
IT Security Intern,DANApprentice,Bersertifikat,DANA ,"DANA Indonesia. Capital Place 18th Floor, Jend. Gatot Subroto Kav. 18, Jakarta Selatan – 12710",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/3f963ff0-ec3c-4f76-ac01-8e342851787e/87a12116-a43e-11eb-9065-86d9847751a0,01 Sep 2021,01 Feb 2022,15 Jun 2021,06 Aug 2021
IT - Sytem Analyst,Tracking Financial CRM BPOCC,Bersertifikat,Kalbe ,Kota Jakarta Timur,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ee261620-e398-4939-ae17-ab576c801cbe/067a825e-a9b1-11eb-b34d-7e0867a6abdb,23 Aug 2021,28 Feb 2022,01 Jul 2021,30 Jul 2021
IT Thematic Internship,BNI DIGI46 IT THEMATIC INTERNSHIP PROGRAM (BNI DITI),Bersertifikat,BNI ,Kota Jakarta Pusat,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/1434cd57-6295-441a-898a-7294119a96d7/30d3d6f3-b728-11eb-9935-da7ada3d00eb,01 Sep 2021,28 Feb 2022,01 Jul 2021,31 Aug 2021
IT Transformation Officer,DIGITALLY TRANSFORMING FUTURE,Bersertifikat,XL Axiata ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c6eaa287-d3a3-4dc4-92b0-c3cabfe9a698/b266b7ac-a940-11eb-87b2-c2c15332c25a,23 Aug 2021,18 Feb 2022,28 Jun 2021,23 Jul 2021
Jig & Fixture Engineering Intern,"Learning Management for ABM Mining, Engineering & Logistic",Bersertifikat,ABM ,Kota Jakarta Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9d58b4f8-33a7-476d-b44c-966e73da4e7b/5ad13b56-a893-11eb-b34d-7e0867a6abdb,02 Aug 2021,31 Jan 2022,01 Jul 2021,31 Jul 2021
Job Analyst,Program Magang Merdeka Belajar Kampus Merdeka Petrokimia Gresik,Bersertifikat,PT Petrokimia Gresik ,Kab. Gresik,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/bc27aac3-8e3f-4016-9b18-cdbfa26746d8/6834420a-a9b2-11eb-b34d-7e0867a6abdb,23 Aug 2021,21 Jan 2022,01 Jul 2021,20 Aug 2021
Job Analyst,Information Technology for Managing People,Bersertifikat,Barata Indonesia ,Kab. Gresik,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0a63bb44-3acf-4c41-bfa5-d7db5b87a658/132e0e20-a962-11eb-b34d-7e0867a6abdb,02 Aug 2021,31 Dec 2021,15 Jun 2021,15 Jul 2021
Job Analyst,Learning Management For Industri Kreatif,Bersertifikat,MKA ,"Balikpapan, Kalimantan Timur",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/3dd0e109-3267-4dc3-ad3d-4b2e3cb309ab/99dbe3ac-a9c9-11eb-87b2-c2c15332c25a,02 Aug 2021,31 Jan 2022,11 Jun 2021,15 Jul 2021
Junior Digital Trainer and Mentor,Travelxism Sustainable Tourism Internship Program (STIP) in Jogjakarta,Bersertifikat,Travelxism ,Kota Yogyakarta,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ada096ac-d708-4330-aeb9-6ca69449dfbd/9a00af71-a9b8-11eb-87b2-c2c15332c25a,02 Aug 2021,31 Jan 2022,15 Jun 2021,16 Jul 2021
JUNIOR ENGINEER,DEVELOPMENT INNOVATION PRODUCT BASED ON INDUSTRY 4.0,Bersertifikat,STECHOQ ,Kab. Sleman,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ba16e287-a822-457d-9d45-5b2e5a47af1f/c27c3841-a8c5-11eb-87b2-c2c15332c25a,28 Jun 2021,31 Dec 2021,14 Jun 2021,28 Jun 2021
Junior Onboarding CC (Credit Card) & UL (Unsecured Loan) (2 posisi),Making Banking Joyful (MBJ) dalam Perjalanan (Journey) Nasabah Kartu Kredit dan Kredit Tanpa Agunan,Bersertifikat,Bank DBS Indonesia ,DKI Jakarta,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/38814882-af32-4727-a0ee-fb8a36d52243/56569632-a8c5-11eb-b34d-7e0867a6abdb,23 Aug 2021,01 Feb 2022,28 Jun 2021,23 Jul 2021
Junior Researchers,Travelxism Sustainable Tourism Internship Program (STIP) in Jogjakarta,Bersertifikat,Travelxism ,Kota Yogyakarta,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ada096ac-d708-4330-aeb9-6ca69449dfbd/8060df1c-a9b7-11eb-87b2-c2c15332c25a,02 Aug 2021,31 Jan 2022,15 Jun 2021,16 Jul 2021
Junior Trainer and Mentor for Community Based Tourism (CBT),Travelxism Sustainable Tourism Internship Program (STIP) in Jogjakarta,Bersertifikat,Travelxism ,Kota Yogyakarta,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ada096ac-d708-4330-aeb9-6ca69449dfbd/e9da8743-a9b9-11eb-87b2-c2c15332c25a,02 Aug 2021,31 Jan 2022,15 Jun 2021,16 Jul 2021
Key Account Analyst,-,Bersertifikat,Paragon Technology and Innovation ,"Jakarta, Bogor, Bandung, Semarang, Jogja, Surabaya",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/bcdcdee1-cef2-4ed7-b469-12a6ab2740fa/e25f1734-a977-11eb-b34d-7e0867a6abdb,02 Aug 2021,31 Jan 2022,30 Apr 2021,31 May 2021
Key Performance Indicator Specialist,Information Technology for Managing People,Bersertifikat,Barata Indonesia ,Kab. Gresik,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0a63bb44-3acf-4c41-bfa5-d7db5b87a658/d5d6a117-a965-11eb-87b2-c2c15332c25a,02 Aug 2021,31 Dec 2021,15 Jun 2021,15 Jul 2021
Kimia Analysis,Program Magang Merdeka Belajar Kampus Merdeka Petrokimia Gresik,Bersertifikat,PT Petrokimia Gresik ,Kab. Gresik,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/bc27aac3-8e3f-4016-9b18-cdbfa26746d8/4a0b877d-a9a8-11eb-b34d-7e0867a6abdb,23 Aug 2021,21 Jan 2022,01 Jul 2021,20 Aug 2021
Knowledge Management,Knowledge Management,Bersertifikat,Royal Lestari Utama  ,Kota Jakarta Barat,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/72b71658-d290-430e-a70c-894e45bf22e9/32d62bbc-ada0-11eb-b34d-7e0867a6abdb,02 Aug 2021,31 Jan 2022,28 Jun 2021,23 Jul 2021
Komunikasi ,-,Bersertifikat,Bank BRI ,Kota Jakarta Pusat,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/a78798fb-cfe4-4e23-9d42-a09881f6bf9c/8d0973f8-a999-11eb-b34d-7e0867a6abdb,23 Aug 2021,22 Feb 2022,01 Jul 2021,01 Aug 2021
Last Mile Interns ,Program Magang Lazada Logistics Indonesia [Goro Sortation],Bersertifikat,Lazada ,Kota Jakarta Utara,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/aed64ced-1c3e-40f4-8c92-3fae1469cbc4/98b588fc-a9d2-11eb-b34d-7e0867a6abdb,23 Aug 2021,21 Jan 2022,07 Jun 2021,23 Jul 2021
Learning Architect Team,-,Bersertifikat,Telkomsel ,Kota Jakarta Selatan,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/162aef9f-4662-4465-82d8-7adf85a712f0/ef280e71-a8ed-11eb-b34d-7e0867a6abdb,04 Aug 2021,05 Dec 2021,07 Jun 2021,30 Jun 2021
Learning Architect Team,-,Bersertifikat,Telkomsel ,Kota Jakarta Selatan,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/162aef9f-4662-4465-82d8-7adf85a712f0/0c08887a-a8ef-11eb-87b2-c2c15332c25a,04 Aug 2021,06 Dec 2021,07 Jun 2021,30 Jun 2021
Learning & Community Management,Teman Literasi Perpustakaan,Bersertifikat,Semua Murid Semua Guru ,"Jawa Timur, Jawa Barat, Sulawesi Barat",20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0cc412e6-5c6a-490d-82d6-c9cb8ae4ebba/bd645269-a9c8-11eb-b34d-7e0867a6abdb,01 Aug 2021,31 Dec 2021,17 Jun 2021,18 Jul 2021
Learning Content Developer,Program Guru Melek Teknologi,Bersertifikat,Semua Murid Semua Guru ,DKI Jakarta,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0cc412e6-5c6a-490d-82d6-c9cb8ae4ebba/7a79293e-a9cc-11eb-87b2-c2c15332c25a,01 Aug 2021,31 Dec 2021,17 Jun 2021,18 Jul 2021
Learning Designer,Pengembangan Literasi dan Bakat Keluarga berbasis Kearifan Lokal,Bersertifikat,Semua Murid Semua Guru ,"Bandung, Jawa Barat",20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0cc412e6-5c6a-490d-82d6-c9cb8ae4ebba/77ce81f7-a9c1-11eb-b34d-7e0867a6abdb,01 Aug 2021,31 Dec 2021,17 Jun 2021,18 Jul 2021
Learning Designer - DKV/ Media,Learning Designer 101,Bersertifikat,Semua Murid Semua Guru ,DKI Jakarta,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0cc412e6-5c6a-490d-82d6-c9cb8ae4ebba/4e03fbf7-a9ca-11eb-b34d-7e0867a6abdb,01 Aug 2021,31 Dec 2021,17 Jun 2021,18 Jul 2021
Learning Designer - Pendidikan,Learning Designer 101,Bersertifikat,Semua Murid Semua Guru ,DKI Jakarta,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0cc412e6-5c6a-490d-82d6-c9cb8ae4ebba/dcc6c36d-a9c9-11eb-b34d-7e0867a6abdb,01 Aug 2021,31 Dec 2021,17 Jun 2021,18 Jul 2021
Learning Designer - Psikologi,Learning Designer 101,Bersertifikat,Semua Murid Semua Guru ,DKI Jakarta,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0cc412e6-5c6a-490d-82d6-c9cb8ae4ebba/ad3e7b3c-a9c9-11eb-b34d-7e0867a6abdb,01 Aug 2021,31 Dec 2021,17 Jun 2021,18 Jul 2021
Learning Designer - Statistika,Learning Designer 101,Bersertifikat,Semua Murid Semua Guru ,DKI Jakarta,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0cc412e6-5c6a-490d-82d6-c9cb8ae4ebba/2e2800b7-a9ca-11eb-b34d-7e0867a6abdb,01 Aug 2021,31 Dec 2021,17 Jun 2021,18 Jul 2021
Learning Designer - Teknologi Informatika/ Sistem Informasi,Learning Designer 101,Bersertifikat,Semua Murid Semua Guru ,DKI Jakarta,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0cc412e6-5c6a-490d-82d6-c9cb8ae4ebba/0bca360b-a9ca-11eb-b34d-7e0867a6abdb,01 Aug 2021,31 Dec 2021,17 Jun 2021,18 Jul 2021
Learning & Development ,The INTERNerary,Bersertifikat,tiket.com ,Kota Jakarta Pusat,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/98eb0aec-3181-4f8c-8b01-25e24af7129b/288e0cca-a8ed-11eb-87b2-c2c15332c25a,09 Aug 2021,14 Feb 2022,28 Jun 2021,26 Jul 2021
Learning & Development Intern,Program Magang Lazada Indonesia People Team,Bersertifikat,Lazada ,Kota Jakarta Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/aed64ced-1c3e-40f4-8c92-3fae1469cbc4/b607783d-a268-11eb-974c-a2f2aa1b8bc6,23 Aug 2021,21 Jan 2022,07 Jun 2021,23 Jul 2021
Learning & Development Intern ,Web-Based Learning Kalbe Consumer Health,Bersertifikat,Kalbe ,Kota Jakarta Utara,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ee261620-e398-4939-ae17-ab576c801cbe/40f7d6dc-a9a2-11eb-87b2-c2c15332c25a,02 Aug 2021,28 Feb 2022,16 Jun 2021,31 Jul 2021
Learning development officer,ASN Academy,Bersertifikat,Semua Murid Semua Guru ,seluruh indonesia,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0cc412e6-5c6a-490d-82d6-c9cb8ae4ebba/afd23241-a9ce-11eb-b34d-7e0867a6abdb,01 Aug 2021,31 Dec 2021,17 Jun 2021,18 Jul 2021
Learning development officer,Leaders Academy Indonesia (LeadID),Bersertifikat,Semua Murid Semua Guru ,seluruh indonesia,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0cc412e6-5c6a-490d-82d6-c9cb8ae4ebba/2a7f1dbd-a9cf-11eb-87b2-c2c15332c25a,01 Aug 2021,31 Dec 2021,17 Jun 2021,18 Jul 2021
Learning Experience System administrator,Teknologi Informasi (IT) Internship Program,Bersertifikat,MAP ,Kota Jakarta Pusat,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ee7b0151-ca37-458e-bb5b-48d25f88b664/c0d8056b-a9a1-11eb-87b2-c2c15332c25a,23 Aug 2021,17 Dec 2021,07 Jun 2021,23 Jul 2021
Learning operational officer,ASN Academy,Bersertifikat,Semua Murid Semua Guru ,seluruh indonesia,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0cc412e6-5c6a-490d-82d6-c9cb8ae4ebba/dc319350-a9ce-11eb-87b2-c2c15332c25a,01 Aug 2021,31 Dec 2021,17 Jun 2021,18 Jul 2021
Learning operational officer,Leaders Academy Indonesia (LeadID),Bersertifikat,Semua Murid Semua Guru ,seluruh indonesia,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0cc412e6-5c6a-490d-82d6-c9cb8ae4ebba/5591477a-a9cf-11eb-87b2-c2c15332c25a,01 Aug 2021,31 Dec 2021,17 Jun 2021,18 Jul 2021
Learning Operator & Facilitator,Program Guru Melek Teknologi,Bersertifikat,Semua Murid Semua Guru ,DKI Jakarta,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0cc412e6-5c6a-490d-82d6-c9cb8ae4ebba/4aa85089-a9cc-11eb-b34d-7e0867a6abdb,01 Aug 2021,31 Dec 2021,17 Jun 2021,18 Jul 2021
Learning- RPA Intern,Pengembangan Robotic Processing Automation - Mandatory Certification,Bersertifikat,Bank CIMB Niaga ,jabodetabek,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/7ee6d215-9ad2-4565-81c1-555e8efb1360/57329e46-a9a4-11eb-87b2-c2c15332c25a,23 Aug 2021,22 Feb 2022,14 Jun 2021,31 Jul 2021
Learning VR intern,Pengembangan Virtual Reality Training Program,Bersertifikat,Bank CIMB Niaga ,Kota Jakarta Pusat,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/7ee6d215-9ad2-4565-81c1-555e8efb1360/4cb221b2-a9a5-11eb-b34d-7e0867a6abdb,23 Aug 2021,22 Feb 2022,14 Jun 2021,31 Jul 2021
Legal,"Learning Management for ABM Mining, Engineering & Logistic",Bersertifikat,ABM ,Kota Jakarta Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9d58b4f8-33a7-476d-b44c-966e73da4e7b/2b02e7c5-a994-11eb-b34d-7e0867a6abdb,02 Aug 2021,31 Jan 2022,01 Jul 2021,31 Jul 2021
Legal and Compliance Interns,Program Magang Lazada Indonesia Legal and Compliance Team,Bersertifikat,Lazada ,Kota Jakarta Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/aed64ced-1c3e-40f4-8c92-3fae1469cbc4/8e82e1d5-a9a0-11eb-b34d-7e0867a6abdb,23 Aug 2021,21 Jan 2022,07 Jun 2021,23 Jul 2021
Legal Anti Piracy,Vidio Market Acceleration Project,Bersertifikat,Vidio ,Kota Jakarta Pusat,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/8bb8fd87-8e0e-41b8-bcc4-a924fbae04f9/dd42692b-a960-11eb-87b2-c2c15332c25a,02 Aug 2021,31 Jan 2022,07 Jun 2021,23 Jul 2021
Legal & Company Secretary,IFRS 17 & Sharia Spin-Off Project,Bersertifikat,Prudential Indonesia ,Kota Jakarta Pusat,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d7dba154-bb40-4f26-ba87-819153240ca6/73d33ba6-a9c2-11eb-b34d-7e0867a6abdb,02 Aug 2021,01 Dec 2021,07 Jun 2021,25 Jun 2021
Legal Intern,Zenius Internship Program 2021,Bersertifikat,Zenius ,"Graha Aktiva, Kuningan Timur, Setiabudi, Jakarta Selatan",20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/261f4d66-aa98-41a5-a213-a079764411a7/7a19a827-a8c4-11eb-87b2-c2c15332c25a,02 Aug 2021,31 Dec 2021,15 Jun 2021,15 Jul 2021
Legal Intern,#InternAtCampaign - Corporate Affair,Bersertifikat,Campaign.com ,Kota Jakarta Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d2d37548-9ab8-4a9d-84c6-a9c0359989ba/5c56301b-adbf-11eb-b34d-7e0867a6abdb,01 Aug 2021,31 Jan 2022,01 Jun 2021,31 Jul 2021
Legal Litigation Officer,DIGITALLY TRANSFORMING FUTURE,Bersertifikat,XL Axiata ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c6eaa287-d3a3-4dc4-92b0-c3cabfe9a698/af9f2ef4-a943-11eb-87b2-c2c15332c25a,23 Aug 2021,18 Feb 2022,28 Jun 2021,23 Jul 2021
Legal Support,Legitimate Loan Syndication Project ,Bersertifikat,Bank DBS Indonesia ,DKI Jakarta,20 SKS , 11 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/38814882-af32-4727-a0ee-fb8a36d52243/f5b9594c-a9a2-11eb-87b2-c2c15332c25a,23 Aug 2021,25 Jul 2022,28 Jun 2021,23 Jul 2021
LHS Interns,Program Magang Lazada Logistics Indonesia [Goro Sortation],Bersertifikat,Lazada ,Kota Jakarta Utara,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/aed64ced-1c3e-40f4-8c92-3fae1469cbc4/feaeadfd-a9d5-11eb-87b2-c2c15332c25a,23 Aug 2021,21 Jan 2022,07 Jun 2021,23 Jul 2021
Local Institution & Data Base,KELOLA SOSIAL YANG BERTANGGUNG JAWAB DALAM PEMBANGUNAN HUTAN TANAMAN INDUSTRI KARET ALAM BERKELANJUTAN - Jambi,Bersertifikat,Royal Lestari Utama  ,Kab. Tebo,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/72b71658-d290-430e-a70c-894e45bf22e9/314733a3-adb8-11eb-b34d-7e0867a6abdb,02 Aug 2021,31 Jan 2022,28 Jun 2021,23 Jul 2021
Local Modern Trade (LMT) Project,-,Bersertifikat,Paragon Technology and Innovation ,"Jakarta, Bogor, Bandung, Semarang, Jogja, Surabaya",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/bcdcdee1-cef2-4ed7-b469-12a6ab2740fa/57410f48-a97c-11eb-87b2-c2c15332c25a,02 Aug 2021,31 Jan 2022,30 Apr 2021,31 May 2021
Logistic Operation,-,Bersertifikat,Paragon Technology and Innovation ,Kota Tangerang & Yogyakarta,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/bcdcdee1-cef2-4ed7-b469-12a6ab2740fa/81b939d1-a8ff-11eb-87b2-c2c15332c25a,02 Aug 2021,31 Jan 2022,29 Apr 2021,31 May 2021
Mahasiswa dari jurusan ilmu kesehatan masyarakat,From Care to Education,Bersertifikat,Yayasan Sayap Ibu Banten ,Kota Tangerang Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4028c2a-6157-43b3-a1c7-33a418f35459/d0b09401-bc33-11eb-9e8c-0a79816adb39,01 Aug 2021,31 Jan 2022,01 Jun 2021,31 Jul 2021
Mahasiswa dari jurusan psikologi,From Care to Education,Bersertifikat,Yayasan Sayap Ibu Banten ,Kota Tangerang Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4028c2a-6157-43b3-a1c7-33a418f35459/d774d192-a9a1-11eb-b34d-7e0867a6abdb,01 Aug 2021,31 Jan 2022,01 Jun 2021,31 Jul 2021
"Mahasiswa dari jurusan Statistik, Teknologi Pendidikan, Ekonomi Manajemen",Optimalisasi Learning & Development Program,Bersertifikat,Alfamidi ,Kota Tangerang,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0948c9f3-2059-465a-b344-f12f1a66077d/225a3d8a-a980-11eb-b34d-7e0867a6abdb,02 Aug 2021,25 Feb 2022,23 Jun 2021,23 Jul 2021
Mahasiswa dari program studi teknik,From Care to Education,Bersertifikat,Yayasan Sayap Ibu Banten ,Kota Tangerang Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4028c2a-6157-43b3-a1c7-33a418f35459/dfce7df9-bc3a-11eb-a1a4-ba5b2e42dfc9,01 Aug 2021,31 Jan 2022,01 Jun 2021,31 Jul 2021
"Mahasiswa Jurusan Agronomi, Agroteknologi",Internship Learning Management Program based on Competency,Bersertifikat,Wilmar Group Indonesia  ,Indonesia,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/bb1df37c-f370-4825-97f2-c81447bbaf7c/a2cb9583-ad89-11eb-87b2-c2c15332c25a,02 Aug 2021,28 Feb 2022,14 Jun 2021,31 Jul 2021
Mahasiswa jurusan fisoterapi,From Care to Education,Bersertifikat,Yayasan Sayap Ibu Banten ,Kota Tangerang Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4028c2a-6157-43b3-a1c7-33a418f35459/e7dd0c29-bc34-11eb-a43d-5eace62e1fc4,01 Aug 2021,31 Jan 2022,01 Jun 2021,31 Jul 2021
Mahasiswa Jurusan Managemen Sumber Daya Manusia,Internship Learning Management Program based on Competency,Bersertifikat,Wilmar Group Indonesia  ,Indonesia,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/bb1df37c-f370-4825-97f2-c81447bbaf7c/2fa5ff79-ad8a-11eb-b34d-7e0867a6abdb,02 Aug 2021,28 Feb 2022,14 Jun 2021,31 Jul 2021
Mahasiswa jurusan Pendidikan Luar Biasa,From Care to Education,Bersertifikat,Yayasan Sayap Ibu Banten ,Kota Tangerang Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4028c2a-6157-43b3-a1c7-33a418f35459/904b9719-bc35-11eb-a43d-5eace62e1fc4,01 Aug 2021,31 Jan 2022,01 Jun 2021,31 Jul 2021
Mahasiswa Jurusan Teknik Elektro,Internship Learning Management Program based on Competency,Bersertifikat,Wilmar Group Indonesia  ,Indonesia,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/bb1df37c-f370-4825-97f2-c81447bbaf7c/ca2a9b98-ad88-11eb-87b2-c2c15332c25a,02 Aug 2021,28 Feb 2022,14 Jun 2021,31 Jul 2021
Mahasiswa Jurusan Teknik Informatika,Internship Learning Management Program based on Competency,Bersertifikat,Wilmar Group Indonesia  ,Indonesia,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/bb1df37c-f370-4825-97f2-c81447bbaf7c/71958773-ad89-11eb-87b2-c2c15332c25a,02 Aug 2021,28 Feb 2022,14 Jun 2021,31 Jul 2021
